Gas,"NFR/CRT Group",Source,Activity,Units,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Carbon Dioxide as Carbon",1A1ai,"Power stations",Coal,kilotonne,49949.9489217003,50185.8424697987,46898.5985718121,39044.7021530202,36854.3591946308,34686.7797476509,32618.0998586129,28045.0206926175,29136.9723847874,24572.5596635347,27706.6092699777,30895.2350241789,29131.6481182641,31921.9712000001,30712.7296000001,31121.8129454348,34396.6558910673,31367.5868792668,28327.0052092471,23239.6634347719,24508.9085986979,24711.1602629135,32945.8953979543,30539.3183523869,23397.8282362534,17837.2165186273,7411.49966405695,5341.92840731755,4001.20768614236,1765.12011363719,1421.03236239222,1567.97555222862,1376.16649077514,879.030484382082
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Fuel oil",kilotonne,5307.36436423794,3988.72987270412,2789.36449943302,2512.68475696252,1925.03349871454,1830.56456274624,1825.12253485613,942.430248855535,807.553755110904,839.471836876771,830.145108325532,866.95000352671,684.949581657824,640.013586504947,723.606794458342,584.618463142961,770.464922727573,625.217968696505,885.304578584114,670.348619454065,483.968175192076,340.674302192519,385.664363043005,301.261710338382,254.088548700604,250.69396016256,269.473511014686,202.690323093722,201.18702147226,184.758786715674,143.553205863623,141.286826300642,138.663887880119,122.814604037817
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Gas oil",kilotonne,178.515786066139,186.869908302386,181.587758040096,194.565580570384,205.55445521517,181.850501222177,193.259938983433,294.383776829863,282.329843929027,328.931061495925,280.50083953293,282.809533585888,285.127485023517,290.868276029082,327.224060603931,315.702643636202,334.080432752551,249.806621349847,256.853299631699,235.308411981411,228.098084363759,232.233743680606,225.087151371268,234.524556795874,237.984585820996,227.077691731735,211.543271502411,204.527304211984,217.873168086254,210.840248288903,189.164815055717,190.964018679278,177.021797474799,184.070113758879
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Natural gas",kilotonne,4.35202950288095,10.0092230867043,136.706790566427,2504.26629669899,4003.58621733278,5339.28957251269,7500.39746114688,10147.4057797018,11220.8912149855,13658.292703323,13954.730532634,13774.158382353,14534.4513287696,14304.6281983244,15286.5292013997,14817.4763453261,13915.0137502839,16018.7131812344,17289.4796561891,16433.9651504529,17266.9934927957,13850.4700414591,9216.96941871631,8797.3673519435,9518.40696574196,9321.66934254887,13597.7912222589,12935.8415848423,12357.1032265467,12308.8857903244,10365.1998763805,11430.2905891932,11775.018967603,9147.57393125182
"Carbon Dioxide as Carbon",1A1ai,"Power stations",Orimulsion,kilotonne,92.6124999999998,249.754999999999,768.384999999998,846.060000238998,733.132499999998,762.409999999998,521.019999976099,108.745,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Waste oils",kilotonne,92.3648067116176,87.1179164293067,92.1143127948972,96.4038068612282,97.0071874698746,111.369806597299,109.597930620008,112.717663326738,103.721731273344,99.4567617588869,108.974576285423,123.982391996852,130.434072932249,146.080483807078,163.353554771293,133.973913057284,-,-,-,48.745634768094,55.4493276935528,46.9480230413514,39.402493810505,42.7737094451594,41.9369638457577,38.9004177270492,38.9450948072582,39.5824453922412,35.2786554326877,34.2167930237632,28.0370877501735,28.0692613831294,26.5468049709439,31.1801732110245
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Municipal solid waste: non-biomass fraction",kilotonne,67.1555914189122,69.7668301608577,80.6190486206364,101.487129018898,144.646073501116,150.551427450437,156.540808291716,201.824972952604,240.287341557512,241.65938275897,279.142202134908,303.448542101761,327.600722918066,317.976359252814,310.229947418471,313.865746094173,345.207592263228,350.138638537275,359.76899656221,410.345566916352,434.659192338954,448.830521397363,548.318069028757,539.775516058351,706.126050700166,921.822890152472,1125.43795582565,1189.20904897659,1364.81770046188,1514.62002739645,1552.38603272472,1730.40857752421,1721.63336352083,1825.47781287148
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Sour gas",kilotonne,-,-,580.203152686948,1479.03105828831,1661.30111344896,1716.26040489053,1762.87144953085,1402.87941755964,862.53009252349,758.435056581044,424.294320616694,221.736774186394,202.972585506312,108.91049685955,115.576100187323,84.884280532925,28.7683101817432,1.96173177436735,-,12.0715175188411,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Scrap tyres",kilotonne,-,-,-,-,24.5795643236716,24.5795643236716,38.2348778368225,41.8762947736628,30.041689728932,22.7588558552515,7.41489919321214,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A1ai,"Power stations","Burning oil",kilotonne,-,-,-,-,-,-,-,0.250993417624375,0.250993417624375,0.250993417624375,0.250993417624375,0.28427873042162,0.263639900252393,0.251857552105054,0.260219218532196,13.919663782,15.905079072,6.14700399999999,4.04351057,3.18154945727271,2.2937018,2.37260095,2.04930771000001,1.425747584,1.45063695438,1.632575886,3.97663192239999,1.8153396466,2.21838573450841,2.09190492228203,2.68199781020328,2.40013099518094,2.32194242017727,0.71671731217429
